fiber,t_min_bin,regime,pheno_band,n_worlds,p_hat,heterogeneity_std_L,c_over_l_bar,L_bar,A_e,cost_loss,DRO,pin_t_min,pin_L_real,pin_phenology,pin_regime,divergence_cl_acts_Ae_doesnt
"(4.0, 'advective', 'vulnerable')",4.0,advective,vulnerable,237,0.0,0.0,0.1,1.0,REV,REV,REV,2.17,0.0,leaf_out,advective,0
"(4.0, 'advective', 'vulnerable')",4.0,advective,vulnerable,237,0.0,0.0,0.2,0.5,REV,REV,REV,2.17,0.0,leaf_out,advective,0
"(4.0, 'advective', 'vulnerable')",4.0,advective,vulnerable,237,0.0,0.0,0.5,0.2,REV,REV,REV,2.17,0.0,leaf_out,advective,0
"(-7.0, 'radiative', 'hardy')",-7.0,radiative,hardy,165,0.9819,0.1813,0.05,2.0,REV,AEX,REV,-7.86,0.0052,dormant,radiative,1
"(-7.0, 'radiative', 'hardy')",-7.0,radiative,hardy,165,0.9819,0.1813,0.1,1.0,REV,AEX,REV,-7.86,0.0052,dormant,radiative,1
"(-7.0, 'radiative', 'hardy')",-7.0,radiative,hardy,165,0.9819,0.1813,0.2,0.5,REV,AEX,REV,-7.86,0.0052,dormant,radiative,1
"(-7.0, 'radiative', 'hardy')",-7.0,radiative,hardy,165,0.9819,0.1813,0.5,0.2,REV,AEX,REV,-7.86,0.0052,dormant,radiative,1
"(-8.0, 'advective', 'vulnerable')",-8.0,advective,vulnerable,90,0.9965,0.1575,0.05,2.0,AEX,AEX,AEX,-6.1,0.2439,budbreak,advective,0
"(-8.0, 'advective', 'vulnerable')",-8.0,advective,vulnerable,90,0.9965,0.1575,0.1,1.0,AEX,AEX,AEX,-6.1,0.2439,budbreak,advective,0
"(-8.0, 'advective', 'vulnerable')",-8.0,advective,vulnerable,90,0.9965,0.1575,0.2,0.5,AEX,AEX,AEX,-6.1,0.2439,budbreak,advective,0
"(-8.0, 'advective', 'vulnerable')",-8.0,advective,vulnerable,90,0.9965,0.1575,0.5,0.2,AEX,AEX,AEX,-6.1,0.2439,budbreak,advective,0
"(-8.0, 'radiative', 'vulnerable')",-8.0,radiative,vulnerable,105,0.9965,0.2301,0.05,2.0,AEX,AEX,AEX,-3.28,0.2387,budbreak,radiative,0
"(-8.0, 'radiative', 'vulnerable')",-8.0,radiative,vulnerable,105,0.9965,0.2301,0.1,1.0,AEX,AEX,AEX,-3.28,0.2387,budbreak,radiative,0
"(-8.0, 'radiative', 'vulnerable')",-8.0,radiative,vulnerable,105,0.9965,0.2301,0.2,0.5,AEX,AEX,AEX,-3.28,0.2387,budbreak,radiative,0
"(-8.0, 'radiative', 'vulnerable')",-8.0,radiative,vulnerable,105,0.9965,0.2301,0.5,0.2,AEX,AEX,AEX,-3.28,0.2387,budbreak,radiative,0
"(-7.0, 'advective', 'vulnerable')",-7.0,advective,vulnerable,199,0.9819,0.1338,0.05,2.0,REV,AEX,REV,-2.25,0.0,budbreak,advective,1
"(-7.0, 'advective', 'vulnerable')",-7.0,advective,vulnerable,199,0.9819,0.1338,0.1,1.0,REV,AEX,REV,-2.25,0.0,budbreak,advective,1
"(-7.0, 'advective', 'vulnerable')",-7.0,advective,vulnerable,199,0.9819,0.1338,0.2,0.5,REV,AEX,REV,-2.25,0.0,budbreak,advective,1
"(-7.0, 'advective', 'vulnerable')",-7.0,advective,vulnerable,199,0.9819,0.1338,0.5,0.2,REV,AEX,REV,-2.25,0.0,budbreak,advective,1
"(5.0, 'advective', 'hardy')",5.0,advective,hardy,69,0.0,0.0,0.05,2.0,REV,REV,REV,1.33,0.0,swollen,advective,0
"(5.0, 'advective', 'hardy')",5.0,advective,hardy,69,0.0,0.0,0.1,1.0,REV,REV,REV,1.33,0.0,swollen,advective,0
